"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,0.076,0.00244948974278318,14,0,"A","a"
"2","AK",97,0.13,0.00447213595499958,97,0,"B","a"
"3","AK",181,0.508,0.0233238075793812,181,0,"C","a"
"4","AK",375,0.13,0.00836660026534075,375,0,"B","a"
"5","KL",14,0.204,0.0143527000944073,14,0,"A","b"
"6","KL",97,0.182,0.021540659228538,97,0,"A","ab"
"7","KL",181,0.228,0.0124096736459909,181,0,"A","b"
"8","KL",375,0.228,0.00969535971483266,375,0,"A","b"
"9","OS",14,0.122,0.00734846922834953,14,0,"A","c"
"10","OS",97,0.198,0.0066332495807108,97,0,"B","b"
"11","OS",181,0.31,0.0164316767251550,181,0,"C","c"
"12","OS",375,0.194,0.00812403840463596,375,0,"B","b"
"13","SW",14,0.326,0.0273130005674953,14,0,"A","d"
"14","SW",97,0.28,0.0207364413533277,97,0,"A","b"
"15","SW",181,0.55,0.0254950975679639,181,0,"B","a"
"16","SW",375,0.368,0.020591260281974,375,0,"A","c"
