"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,2.49022642735469,0,0,"A"
"2","AK",97,104.851805004776,2.22522466371939,0.0144573613,0.0020951584,"AB"
"3","AK",181,110.572751667416,1.00526187371345,0.026773477,0.003213622,"AB"
"4","AK",375,118.042427839162,3.45728465973989,0.04755325,0.0053283547,"B"
"5","KL",0,100,1.93997104786578,0,0,"A"
"6","KL",97,109.091731790428,2.36134851903573,0.0200751224,0.0020203917,"AB"
"7","KL",181,113.649999621131,1.03595849600375,0.0404117216,0.0042461156,"B"
"8","KL",375,114.278786695174,1.76886561078660,0.0776835238,0.0069587,"B"
"9","OS",0,100,2.00928802835280,0,0,"AB"
"10","OS",97,94.5373114742628,2.48922885472134,0.0134305694,0.00071738,"A"
"11","OS",181,102.865917705970,0.862905057831876,0.0267462763,0.0019261247,"AB"
"12","OS",375,107.653326014721,1.49643087668609,0.0531212232,0.0043748774,"B"
"13","SW",0,100,0.608247058925734,0,0,"A"
"14","SW",97,102.604678993416,2.01745383722748,0.025067428,0.0023608272,"A"
"15","SW",181,106.770133798986,2.39557005589754,0.049045333,0.0045739457,"AB"
"16","SW",375,116.441087711253,1.86897478224398,0.1115045689,0.0119923415,"B"
