"","orig_cTIC.C R","orig_cTIC.C p","orig_cTIC.C sig","class_cTIC.f R","class_cTIC.f p","class_cTIC.f sig","class_cTIC.cp R","class_cTIC.cp p","class_cTIC.cp sig","class_cTIC.c R","class_cTIC.c p","class_cTIC.c sig"
"f1sim","0.704103049176846","2.58970622724064e-12","***","0.954798826432567","0","***","-0.694468715535006","6.78005991750716e-12","***","0.465760285320709","2.89236167785312e-05","***"
"f2sim","0.621401082531867","3.46753070701311e-09","***","0.826435754051623","0","***","-0.528121325617407","1.32600803515405e-06","***","0.343316659751264","0.00274777840587914","**"
"f3sim","0.413399962799874","0.000251371320816318","***","0.563946882075103","1.675465937101e-07","***","-0.289683404945775","0.0122987369134714","*","0.185786191526989","0.113008160608344","n.s."
"f4sim","0.55719013866235","2.52165142544669e-07","***","0.685094377391312","1.66946456658934e-11","***","-0.340646893118161","0.00297957787240203","**","0.287936015029769","0.012858007186562","*"
"f5sim","0.189090494190354","0.106632016259489","n.s.","0.619564908728031","3.97329813495162e-09","***","-0.886772375483254","7.77251997398677e-26","***","0.0249119593583529","0.833133050891437","n.s."
"f6sim","0.766457193675232","1.77635683940025e-15","***","0.925663672212008","0","***","-0.509959593563048","3.46706240380477e-06","***","0.501221058956686","5.40000073323554e-06","***"
"f7sim","0.730983022264958","1.42330591756945e-13","***","0.85083646514383","0","***","-0.494340552927401","7.58966586076e-06","***","0.58718709387224","3.82110389995916e-08","***"
"f8sim","0.77287629987508","6.66133814775094e-16","***","0.607665957606903","9.40262445681128e-09","***","0.103828755126728","0.378672215429356","n.s.","0.616546876049095","4.96038343733574e-09","***"
"f9sim","0.860203702048506","0","***","0.98824666310836","0","***","-0.562245051741565","1.85877681279476e-07","***","0.686402859683671","1.47513112835895e-11","***"
"f10sim","-0.237075914747769","0.0419740573511354","*","-0.569851229439602","1.16336765776289e-07","***","0.870896690088561","0","***","-0.280102126239234","0.0156444367575534","*"
"f11sim","0.771496327568625","8.88178419700125e-16","***","0.962141335043514","0","***","-0.592136265509766","2.74725531842043e-08","***","0.523820101778037","1.67338273615592e-06","***"
"f12sim","-0.398528889392378","0.000436780062071289","***","-0.734491225351522","9.5046860585449e-14","***","0.888130679750584","0","***","-0.350689619948685","0.00218907682500408","**"
"f13sim","-0.283546004276414","0.0143612200863131","*","-0.651817709803147","3.17465745973207e-10","***","0.793971324516048","0","***","-0.125669479969085","0.286025291904662","n.s."
"f14sim","0.534424553798471","9.37404815326559e-07","***","0.460971824135117","3.57790330574037e-05","***","0.133663525558996","0.256230753675968","n.s.","0.243772441779369","0.0363495225401589","*"
"f15sim","0.811372846234264","0","***","0.952617939201809","0","***","-0.61737622791102","4.66805783658108e-09","***","0.706298443274573","2.06856753948159e-12","***"
"c1sim","0.263662397857017","0.0232184292041955","*","-0.00652976965126265","0.955966799156727","n.s.","0.441726256240366","8.15305277444e-05","***","0.225411543140982","0.0534852761719802","."
"c2sim","-0.412190819208811","0.000263174815154429","***","-0.785220386051066","1.21857530622541e-16","***","0.918376510720406","0","***","-0.318818478550148","0.00563095555156586","**"
"c3sim","-0.00387051366676036","0.97389094838295","n.s.","-0.479134036546705","1.56973366463545e-05","***","0.84008906907592","0","***","0.207095413238654","0.076657179372662","."
"c4sim","0.85115941770607","0","***","0.926237102727358","0","***","-0.579030689662442","6.50398025336519e-08","***","0.827514148714205","0","***"
"c5sim","-0.0023504652681192","0.984142882738525","n.s.","-0.261899979182619","0.0241902417313955","*","0.666159352163495","9.33939592329125e-11","***","-0.130359372338189","0.268279171784587","n.s."
"c6sim","0.77424164991631","6.66133814775094e-16","***","0.791878329601105","0","***","-0.301830353824997","0.00896209783052236","**","0.634870371253512","1.24242371946082e-09","***"
"c7sim","-0.505971191777835","4.25059659997757e-06","***","-0.839721171702419","8.95000464084381e-21","***","0.79904545201324","0","***","-0.305596407520907","0.00810296982286492","**"
"c8sim","0.568870399813302","1.2366536905617e-07","***","0.542313510842695","6.01262323929319e-07","***","-0.158685532024729","0.17688812039355","n.s.","0.515640462356619","2.58213125370332e-06","***"
"c9sim","0.753742259023734","9.10382880192628e-15","***","0.929379027224206","0","***","-0.688973750319187","1.15453364537095e-11","***","0.671012236430271","6.07958128284736e-11","***"
"c10sim","0.77979673653353","2.22044604925031e-16","***","0.891006583077888","0","***","-0.488724434159691","9.9663952577944e-06","***","0.600840400152596","1.51693999583813e-08","***"
"cp1sim","-0.0659852023108584","0.576453970230411","n.s.","-0.343033903253813","0.00277154069003108","**","0.781499691960844","2.22044604925031e-16","***","-0.223660047608414","0.0554180521668941","."
"cp2sim","-0.445818200741595","6.87149161535938e-05","***","-0.594051185291373","2.41439949786586e-08","***","0.689712961923446","1.07549524841488e-11","***","-0.599483757937825","1.6660057771732e-08","***"
"cp3sim","-0.458285017828953","4.02587713087283e-05","***","-0.596055588810324","2.10719743176833e-08","***","0.677911187022613","3.25646176690952e-11","***","-0.607092168310512","9.79264550948542e-09","***"
"cp4sim","-0.553396795090933","3.15976467141915e-07","***","-0.71596351084803","7.50269701490867e-13","***","0.715438846349426","7.93587418002062e-13","***","-0.638064085808215","9.66900178491985e-10","***"
"cp5sim","0.582053282835795","5.34953725761511e-08","***","0.180367763970484","0.124095281098983","n.s.","0.534231954510958","9.47490160552178e-07","***","0.614431117465842","5.78714631771504e-09","***"
"cp6sim","-0.213179524872492","0.0682059807379777",".","-0.660426720777299","1.53521043104216e-10","***","0.962301093936085","0","***","-0.0905044798048242","0.443158726107599","n.s."
"cp7sim","0.0997114376659482","0.397967609183455","n.s.","-0.369076515387406","0.00121250075813653","**","0.760067831997337","3.99680288865056e-15","***","0.328690291459374","0.00424620972544454","**"
"cp8sim","-0.114750911238961","0.330285069283039","n.s.","-0.42107516476208","0.000187089390170244","***","0.80650615143406","0","***","-0.204989205186922","0.0797703871417425","."
"f3sim.1","0.618566809083574","4.2769396912945e-09","***","0.710049611048178","1.40221168010157e-12","***","-0.265933021306067","0.0220154731531214","*","0.339190301897406","0.00311327342113743","**"
"cp4sim.1","-0.367034997128919","0.00129693142472199","**","-0.626210792433773","2.41712535763501e-09","***","0.802971862319546","0","***","-0.421264028290432","0.000185718032525978","***"
"f8sim.1","0.778253204205611","4.44089209850063e-16","***","0.531685803424706","1.09080044308207e-06","***","0.153782156836122","0.190819292870835","n.s.","0.772479365965197","6.66133814775094e-16","***"
"short13sim","-0.442149855010179","8.01079602743121e-05","***","-0.734362133595468","9.6482066185218e-14","***","0.831171210011942","0","***","-0.434245562912681","0.000110834817603938","***"
"unk14sim","-0.193705909057437","0.0981974829859412",".","-0.548672921513367","4.16844863450659e-07","***","0.880668368825482","0","***","-0.187226158312364","0.110194290572911","n.s."
"unk17sim","-0.29709236580433","0.0101552933223552","*","-0.349242168939002","0.002289953520432","**","0.433154897914513","0.000115840727707761","***","-0.51752088609532","2.3393961379724e-06","***"
"unk19sim","0.223173313762616","0.0559651647343014",".","0.0854709199585482","0.469030266250991","n.s.","0.329904364626739","0.00409874628316387","**","0.0386746797433737","0.74355396955559","n.s."
"unk20sim","-0.105639185690044","0.370369450598584","n.s.","-0.174330318308926","0.137407140020457","n.s.","0.215468646994337","0.065227362259555",".","-0.185123652884681","0.114321316539755","n.s."
"short1sim","-0.298437869268396","0.00980312955194764","**","-0.51150064773029","3.2023661584223e-06","***","0.692237439904968","8.42792502453449e-12","***","-0.40116996921755","0.00039669711290986","***"
