"type";"harvest";"accresp";"days";"massloss";"masslossSE"
"AK-0-A";"AK";0;0;0;0;0
"AK-0-B";"AK";0;0;0;0;0
"AK-0-C";"AK";0;0;0;0;0
"AK-0-D";"AK";0;0;0;0;0
"AK-2-A";"AK";2;0.652458799423799;97;2.52930435824055;0.544780468104218
"AK-2-B";"AK";2;0.652458799423799;97;2.52930435824055;0.544780468104218
"AK-2-C";"AK";2;0.652458799423799;97;2.52930435824055;0.544780468104218
"AK-2-D";"AK";2;0.652458799423799;97;2.52930435824055;0.544780468104218
"AK-2-E";"AK";2;0.652458799423799;97;2.52930435824055;0.544780468104218
"AK-3-A";"AK";6;0.939209584871731;181;3.63765515806191;0.801446430546112
"AK-3-B";"AK";6;0.939209584871731;181;3.63765515806191;0.801446430546112
"AK-3-C";"AK";6;0.939209584871731;181;3.63765515806191;0.801446430546112
"AK-3-D";"AK";6;0.939209584871731;181;3.63765515806191;0.801446430546112
"AK-3-E";"AK";6;0.939209584871731;181;3.63765515806191;0.801446430546112
"AK-4-A";"AK";15;1.46536161373729;375;5.67134103309735;1.0744421925849
"AK-4-B";"AK";15;1.46536161373729;375;5.67134103309735;1.0744421925849
"AK-4-C";"AK";15;1.46536161373729;375;5.67134103309735;1.0744421925849
"AK-4-D";"AK";15;1.46536161373729;375;5.67134103309735;1.0744421925849
"AK-4-E";"AK";15;1.46536161373729;375;5.67134103309735;1.0744421925849
"KL-0-A";"KL";0;0;0;0;0
"KL-0-B";"KL";0;0;0;0;0
"KL-0-D";"KL";0;0;0;0;0
"KL-2-A";"KL";2;0.88484382240166;97;3.49090245059787;0.466455782138534
"KL-2-B";"KL";2;0.88484382240166;97;3.49090245059787;0.466455782138534
"KL-2-C";"KL";2;0.88484382240166;97;3.49090245059787;0.466455782138534
"KL-2-D";"KL";2;0.88484382240166;97;3.49090245059787;0.466455782138534
"KL-3-A";"KL";6;1.35250066323811;181;5.2984923854374;0.812868854826706
"KL-3-B";"KL";6;1.35250066323811;181;5.2984923854374;0.812868854826706
"KL-3-C";"KL";6;1.35250066323811;181;5.2984923854374;0.812868854826706
"KL-3-D";"KL";6;1.35250066323811;181;5.2984923854374;0.812868854826706
"KL-3-E";"KL";6;1.35250066323811;181;5.2984923854374;0.812868854826706
"KL-4-A";"KL";15;2.28614686627962;375;8.90722710703462;1.24761363105113
"KL-4-B";"KL";15;2.28614686627962;375;8.90722710703462;1.24761363105113
"KL-4-C";"KL";15;2.28614686627962;375;8.90722710703462;1.24761363105113
"KL-4-D";"KL";15;2.28614686627962;375;8.90722710703462;1.24761363105113
"KL-4-E";"KL";15;2.28614686627962;375;8.90722710703462;1.24761363105113
"OS-0-A";"OS";0;0;0;0;0
"OS-0-B";"OS";0;0;0;0;0
"OS-0-C";"OS";0;0;0;0;0
"OS-0-D";"OS";0;0;0;0;0
"OS-2-A";"OS";2;0.575790218813272;97;2.20179757680342;0.189721020528502
"OS-2-B";"OS";2;0.575790218813272;97;2.20179757680342;0.189721020528502
"OS-2-c";"OS";2;0.575790218813272;97;2.20179757680342;0.189721020528502
"OS-2-D";"OS";2;0.575790218813272;97;2.20179757680342;0.189721020528502
"OS-2-E";"OS";2;0.575790218813272;97;2.20179757680342;0.189721020528502
"OS-3-A";"OS";6;0.872458574614785;181;3.3484818271034;0.372272027037868
"OS-3-B";"OS";6;0.872458574614785;181;3.3484818271034;0.372272027037868
"OS-3-C";"OS";6;0.872458574614785;181;3.3484818271034;0.372272027037868
"OS-3-D";"OS";6;0.872458574614785;181;3.3484818271034;0.372272027037868
"OS-3-E";"OS";6;0.872458574614785;181;3.3484818271034;0.372272027037868
"OS-4-A";"OS";15;1.5036183735428;375;5.78804434430521;0.623679878380953
"OS-4-B";"OS";15;1.5036183735428;375;5.78804434430521;0.623679878380953
"OS-4-C";"OS";15;1.5036183735428;375;5.78804434430521;0.623679878380953
"OS-4-D";"OS";15;1.5036183735428;375;5.78804434430521;0.623679878380953
"OS-4-E";"OS";15;1.5036183735428;375;5.78804434430521;0.623679878380953
"SW-0-A";"SW";0;0;0;0;0
"SW-0-B";"SW";0;0;0;0;0
"SW-0-C";"SW";0;0;0;0;0
"SW-0-D";"SW";0;0;0;0;0
"SW-2-A";"SW";2;1.09701514582323;97;4.0875456448752;0.922509130394522
"SW-2-B";"SW";2;1.09701514582323;97;4.0875456448752;0.922509130394522
"SW-2-C";"SW";2;1.09701514582323;97;4.0875456448752;0.922509130394522
"SW-2-D";"SW";2;1.09701514582323;97;4.0875456448752;0.922509130394522
"SW-2-E";"SW";2;1.09701514582323;97;4.0875456448752;0.922509130394522
"SW-3-A";"SW";6;1.64306775025569;181;6.19815134006746;1.66137903577024
"SW-3-B";"SW";6;1.64306775025569;181;6.19815134006746;1.66137903577024
"SW-3-C";"SW";6;1.64306775025569;181;6.19815134006746;1.66137903577024
"SW-3-D";"SW";6;1.64306775025569;181;6.19815134006746;1.66137903577024
"SW-3-E";"SW";6;1.64306775025569;181;6.19815134006746;1.66137903577024
"SW-4-A";"SW";15;3.1799106383186;375;12.1383653887351;2.37567290363195
"SW-4-B";"SW";15;3.1799106383186;375;12.1383653887351;2.37567290363195
"SW-4-C";"SW";15;3.1799106383186;375;12.1383653887351;2.37567290363195
"SW-4-D";"SW";15;3.1799106383186;375;12.1383653887351;2.37567290363195
"SW-4-E";"SW";15;3.1799106383186;375;12.1383653887351;2.37567290363195
