,,,"methanol","2-butanone","methylbutanal","dimethylfuran","methylvinylketon","butanedione","toluene","trimethylfuran","unknown_7.42","hydroxypropanone","cyclopentenone","Methylcyclopentenone","propenoic_acid,_ME","1-hydroxy-2-propenoneacetat","furaldehyd","furanylethanone","pyrrole","dimethylcyclopentenone","unknown_15.76","cyclopentendione","butyrolactone","furanmethanol","hydroxymethylcyclopentenone","guaiacol","!phenol","ethylguaiacol","methylphenol","ethylphenol","vinylguaiacol","di-anhydro_hexose","syringol","propenylguaiacol","benzofuran","indole","vinylsyringol","propenylsyringol","hydroquinone","hydroquinone_derivative","unknown_40.23"
"E1-K-0-A_272myg","Litter","KL",7.460,0.141,0.103,0.317,0.698,2.733,1.813,0.094,0.685,8.822,0.898,3.354,0.680,0.268,6.340,0.469,0.722,0.140,0.213,0.602,0.172,0.812,1.528,4.148,10.311,0.916,9.814,1.368,5.297,0.000,2.462,3.200,12.276,0.440,5.297,4.036,1.370,0.000,0.000
"E1-K-0-B_407myg","Litter","KL",6.946,0.205,0.161,0.434,0.667,2.525,2.468,0.132,0.032,7.985,0.957,2.752,0.547,0.269,5.182,0.411,0.672,0.168,0.000,0.512,0.159,0.570,1.535,4.162,11.860,1.098,11.957,1.399,5.369,0.000,2.475,3.331,12.087,0.465,5.369,3.993,1.149,0.000,0.000
"E1-K-0-D_280myg","Litter","KL",8.650,0.117,0.067,0.342,0.555,2.584,1.502,0.059,0.044,8.558,0.748,3.551,0.814,0.212,6.705,0.447,0.775,0.095,0.000,0.624,0.143,0.920,1.264,4.091,9.489,0.722,8.570,1.506,5.988,0.000,2.561,3.212,12.902,0.479,5.988,4.259,1.455,0.000,0.000
"E1-KL-0-A_335","Litter","KL",10.849,0.096,0.000,0.280,0.827,2.970,0.852,0.054,0.069,9.616,0.572,2.973,0.969,0.179,5.652,0.402,0.564,0.079,0.000,0.532,0.220,0.946,1.590,3.880,7.063,0.365,7.320,1.559,7.049,0.000,2.109,3.122,14.052,0.494,7.049,4.028,1.619,0.000,0.000
"E1-OS-0-A_249","Litter","OS",10.374,0.140,0.193,0.417,1.197,3.091,1.354,0.090,0.000,8.252,1.277,3.781,0.839,0.142,7.100,0.418,0.655,0.101,0.000,0.525,0.000,0.742,1.436,3.742,4.896,0.493,6.295,1.827,6.949,0.000,1.809,3.725,15.014,0.377,6.949,4.396,1.400,0.000,0.000
"E1-OS-0-B_363","Litter","OS",12.668,0.139,0.181,0.597,1.088,3.688,1.014,0.123,0.027,11.284,0.794,5.253,1.008,0.259,9.881,0.488,0.790,0.101,0.000,0.720,0.480,0.905,2.090,4.323,5.005,0.676,2.554,2.313,0.293,0.000,0.659,4.825,17.522,0.475,0.293,5.655,1.831,0.000,0.000
"E1-OS-0-C_269","Litter","OS",12.880,0.179,0.134,0.547,0.813,3.696,0.894,0.095,0.033,10.942,0.790,5.432,1.128,0.233,10.109,0.484,0.777,0.082,0.000,0.691,0.094,0.946,0.989,4.787,4.682,0.653,2.749,2.473,0.291,0.000,0.677,5.284,17.780,0.464,0.291,6.170,1.731,0.000,0.000
"E1-SW-0-A_284","Litter","SW",15.262,0.095,0.129,0.295,1.024,4.015,1.119,0.055,0.076,12.886,0.752,4.039,1.184,0.254,7.559,0.529,0.759,0.105,0.000,0.752,0.264,1.426,1.532,5.065,5.877,0.422,5.308,2.091,0.278,0.000,0.556,4.663,12.945,0.800,0.278,5.454,2.153,0.000,0.000
"E1-SW-0-D_388","Litter","SW",11.733,0.168,0.000,0.226,0.980,3.187,1.478,0.059,0.098,8.893,0.608,2.533,0.865,0.157,4.884,0.369,0.698,0.102,0.000,0.549,0.281,0.864,1.124,4.552,6.412,0.364,7.516,1.542,7.417,0.000,2.228,3.326,12.817,0.787,7.417,4.109,1.659,0.000,0.000
"E1-SW-O-B_415","Litter","SW",14.349,0.110,0.000,0.258,1.138,4.131,1.080,0.070,0.104,14.489,0.784,3.865,1.178,0.321,7.205,0.530,0.866,0.112,0.000,0.752,0.284,1.399,1.813,5.190,5.949,0.493,5.094,2.033,0.288,0.000,0.512,4.778,12.456,0.783,0.288,5.174,2.124,0.000,0.000
"tea_KL_18_8_09","tea","KL",6.291,0.941,2.132,0.214,0.941,4.987,2.286,0.487,0.838,15.316,1.858,0.417,0.210,0.183,0.840,1.203,1.860,0.931,0.461,0.304,0.384,0.469,2.739,5.217,16.745,0.347,6.597,0.395,1.298,0.852,2.319,0.479,7.273,0.935,1.298,0.609,4.394,3.447,1.502
"tea_KL_1_7_09","tea","KL",6.917,0.746,3.041,0.176,0.899,5.822,2.052,0.400,1.275,16.846,2.811,0.641,0.220,0.210,1.241,2.130,2.235,1.091,0.547,0.260,0.509,0.508,3.505,5.941,15.546,0.381,4.957,0.425,0.081,1.403,0.229,0.458,6.561,0.893,0.081,0.538,1.538,4.529,2.355
"tea_KL_29_5_09","tea","KL",6.978,0.921,2.893,0.199,0.836,5.210,2.110,0.388,0.894,15.075,2.442,0.552,0.181,0.180,1.077,1.639,2.334,1.047,0.459,0.259,0.461,0.424,3.751,4.959,14.098,0.345,5.612,0.316,1.093,1.114,2.111,0.403,6.343,0.924,1.093,0.499,4.451,4.251,2.080
"tea_OS_01_7_09","tea","OS",6.748,0.778,4.591,1.022,0.661,4.781,1.668,0.514,0.170,18.926,1.955,0.833,0.218,0.233,1.581,3.282,2.536,0.942,0.095,0.820,0.585,1.380,3.673,4.739,12.123,0.201,3.268,0.261,0.891,5.251,2.203,0.270,3.426,0.641,0.891,0.420,6.385,0.775,0.265
"tea_OS_24_5_09","tea","OS",7.943,0.494,7.733,1.084,0.588,5.262,0.822,0.291,0.292,24.077,1.991,0.800,0.271,0.272,1.949,3.329,2.316,0.629,0.138,1.030,0.776,1.683,3.808,5.126,0.974,0.206,1.690,0.280,0.903,6.511,2.479,0.261,3.898,0.456,0.903,0.405,7.373,0.790,0.167
"tea_OS_28_8_09","tea","OS",7.266,0.664,5.732,1.170,1.132,4.764,1.488,0.450,0.217,16.271,1.649,0.960,0.249,0.284,1.746,2.970,2.281,0.819,0.094,1.033,0.570,1.705,3.390,5.046,12.472,0.255,3.279,0.278,0.833,5.338,2.135,0.348,3.860,0.512,0.833,0.430,6.492,0.739,0.246
"tea_SW_08_6_09","tea","SW",7.216,0.967,1.705,0.244,1.097,4.230,2.191,0.379,1.355,12.427,1.636,0.381,0.146,0.160,0.747,1.021,2.161,0.844,0.854,0.217,0.350,0.390,2.876,7.143,12.728,0.396,4.609,0.592,1.507,0.918,3.111,0.850,7.012,0.924,1.507,0.792,7.041,5.055,2.219
"tea_SW_18_8_09","tea","SW",6.958,0.898,1.816,0.280,0.999,4.046,1.891,0.414,1.373,11.773,1.730,0.413,0.161,0.165,0.820,1.098,2.148,0.871,0.738,0.303,0.365,0.428,2.887,7.633,13.766,0.503,4.371,0.710,1.612,0.879,3.375,0.971,7.206,0.883,1.612,0.838,7.134,4.339,1.594
"tea_SW_29_5_09","tea","SW",7.698,0.993,2.365,0.259,0.998,4.357,2.330,0.366,1.440,11.777,1.814,0.345,0.191,0.198,0.731,1.189,2.589,1.007,0.754,0.216,0.429,0.513,3.026,7.477,12.317,0.450,4.762,0.515,1.260,0.996,3.004,0.846,6.280,0.901,1.260,0.668,6.543,5.091,2.047
