"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg",NA,NA,NA,NA,NA,NA,0.00600693028820987,0.000713078354155992,0.000672692728756877,4.06661812724754e-05,7.21676497009288e-09,4.59377807613083e-10,1.34208992497106e-07,8.29762460291931e-09,2.68972758178582e-05,1.74261046449481e-06,6.441897032602e-05,4.35446282824715e-06,2.04766002893058e-07,1.26034468173698e-08,0.000943385090671585,7.81027209173366e-05,0.000766590528272867,6.71961278586565e-05,3.05929321583558e-05,2.22862541160913e-06,7.6908114205227e-05,4.73338220810666e-06,NA,NA,NA,NA,0.00374847310631842,0.000782462812188213,0.00990220079885698,0.00150153323597719,0.0265733207658352,0.0100884151278570,0.00274010710399411,0.000377390241913733,0.0333897668986867,0.0167874992978470,0.0623585963191238,0.0317954691363194,0.00917199280593829,0.00458790154328367,0.0105494453961906,0.00527762193293207,0.0115038264827537,0.00575567323686704,0.0129206348729536,0.00646564623292124,0.0423862950043404,0.0213835832634881,0.0119335095026250,0.00597095233639218,0.0105568524824051,0.00528133153364215,0.00960209406012721,0.00480323295866082,0.0157997376726959,0.00790961895038516,0.00374395917139135,0.000553435280123234,0.00222370207430789,0.000297659456970015,0.304543425887135
"ck",NA,NA,NA,NA,NA,NA,0.00377348681834928,0.000213229651278516,0.000318303388003804,2.25718127467301e-05,2.12450940528727e-06,1.42880639531974e-07,3.28008696006865e-06,2.21543936936446e-07,5.38429671768438e-06,3.53373795648083e-07,7.8057849030116e-06,5.05379886420484e-07,7.64436003752617e-08,4.68084230114656e-09,0.00140971646828677,8.84482297188975e-05,3.65541104089255e-05,2.30416142293764e-06,8.98129848148284e-07,5.76100102571898e-08,0.000140738752605903,8.38764160710056e-06,NA,NA,NA,NA,7.33038865845856e-07,4.45394117337188e-08,0.0128066539064896,0.00107594367418106,0.00194088402660670,0.000123524614079875,8.92026734124944e-05,1.12094448568694e-05,0.0640771433446566,0.0327082280432446,0.131912369185075,0.0724913318949893,0.0270399524463533,0.0135690237291767,0.022268408437152,0.0111615509722340,0.00408962450630119,0.00204498102803541,0.0109251039252409,0.00546577232324214,0.0891150296446589,0.0464144585980565,0.0287700263077922,0.0144441330465314,0.0335072580088307,0.0168472315847174,0.0511072437841449,0.0258895180562108,0.0516206088294825,0.0261565629983256,0.000109326242770406,1.46894171225540e-05,0.000435142780034629,5.29672107833076e-05,0.178703023483348
"dg",NA,NA,NA,NA,NA,NA,7.18639703158034e-06,4.15922381703662e-07,3.51481002823324e-05,2.52001056502144e-06,6.1838351125802e-06,4.14062114430902e-07,9.14780856244856e-06,5.65230092556204e-07,2.76525587156953e-06,1.83892673479148e-07,NA,NA,NA,NA,4.04464923477753e-05,3.00688335967526e-06,2.14254799517934e-06,1.27380313556442e-07,1.76061255632586e-07,1.10060220747548e-08,0.00045896327315254,3.25276543861299e-05,NA,NA,NA,NA,8.89760479143034e-07,5.70156238693301e-08,NA,NA,NA,NA,3.74011968228835e-05,4.7180096547192e-06,0.00308399356287952,0.000804983780303147,0.0256564488725530,0.00824145045104616,0.000813744082059093,0.000203641226810306,0.00111869115162212,0.000286168380185180,0.00153951394534059,0.000398271025554851,0.000542274293013097,0.000138083105298686,0.0193905778898336,0.00593475997117623,6.90093418465849e-05,1.71576164784274e-05,5.8246886865508e-05,1.4541867299551e-05,0.000214573835865678,5.31485523432297e-05,0.0035363663796998,0.000934492024075553,0.000150757821972702,1.89007113960003e-05,0.00393903313584347,0.00103483920628783,0.499533098625743
"dk",NA,NA,NA,NA,NA,NA,0.00210070360368998,0.000242206463161726,0.0321036356454082,0.00263905589090072,2.47756973977470e-05,1.65427899108339e-06,0.00176739557924438,0.000103138990469599,5.12972259810116e-07,3.18108536898940e-08,0.0132048096036775,0.00207129419887490,0.0126819604176271,0.00182673663023129,0.000514592399315333,5.2506531230723e-05,3.91771296536229e-05,2.62083693129845e-06,5.28080174145583e-06,3.64458520769542e-07,9.70887482129454e-05,7.61496509614607e-06,NA,NA,NA,NA,1.60916433576454e-06,1.02837095427857e-07,NA,NA,0.00227685993229843,0.000353363484911138,5.22372041775658e-05,6.77990917816789e-06,0.0278025351074812,0.0139545995949392,0.0237429668395451,0.0119046470545853,0.0316679411009944,0.0159129184540921,0.0135255287591369,0.006768877920533,0.00885901743874355,0.00443122520544637,0.00839091520808642,0.00419691599643085,0.00390846761941969,0.00195438116915355,0.0119450990930405,0.00597675940440132,0.0332206139251115,0.0167015147682800,0.0286305825212916,0.0143735521724147,0.0676696052335768,0.034626429812105,0.000233010297508313,2.95742244966534e-05,0.000665488216897345,8.66558430607423e-05,0.434803829399255
"wg",NA,NA,NA,NA,NA,NA,0.0100937506703785,0.00126960769238451,0.000491774202470609,4.38273173672087e-05,8.45646820588847e-05,5.46904859309321e-06,6.72483236570824e-05,4.52532352069368e-06,0.00129735493903361,0.000149261294433702,0.0032689977007094,0.000473732838626106,0.000199740822386595,1.12846378865163e-05,0.000604402528890426,4.37996052871429e-05,0.00197774792773464,0.000142120614799297,7.0257633305759e-06,4.60619904064558e-07,8.14892980524058e-06,5.18104472280753e-07,1.33786775699232e-05,8.50047484070508e-07,4.96453516567729e-06,2.92598101485415e-07,2.74569532643645e-06,1.75221097787663e-07,0.0205121792041175,0.0072642302211127,0.000182405001791895,1.29907320130721e-05,0.00091708407439329,0.000135217042737233,0.0105579160770165,0.00528186429418348,0.0443304792579277,0.0223833783766484,0.00289620371011773,0.00144816172321836,0.0377141380010777,0.0189908394457990,0.0432843964477706,0.0218451154559216,0.00616593369214335,0.0030835454109979,0.0400434911506277,0.0201820832555384,0.00733605018460875,0.00366899966658372,0.0333823481800214,0.0167837279446481,0.0389898246494941,0.0196428303731723,0.083184216691278,0.0430900394707734,0.0015257594338112,0.000192213381214846,0.00460681812594885,0.00118860698659445,0.0715654575253764
"wk",NA,NA,NA,NA,NA,NA,0.0246401601300967,0.00166248899082609,2.09329131461492e-05,1.42332319933266e-06,0.000353015608801623,2.69064940955092e-05,0.000215362531563064,1.55914751346659e-05,2.35936282025076e-07,1.46696917622319e-08,2.39373284151701e-06,1.51025332907712e-07,3.60294428224672e-07,2.25335951301502e-08,0.000376380378427332,2.47808822773307e-05,0.000859763931470594,6.08614075681184e-05,4.67453572149549e-06,2.95370104946475e-07,5.23712733334503e-07,3.36186552563848e-08,1.29003557959415e-07,8.3130424675982e-09,8.40494288315835e-07,5.10222307011444e-08,1.07170543224626e-05,6.87109872707423e-07,0.00015747222650756,1.09228041497057e-05,4.65649818200346e-05,2.87667408418438e-06,0.000439606063814441,6.04992121518538e-05,0.0130293346911058,0.00652013188271867,0.0249362244803941,0.0125065481726086,0.00781949390565208,0.00391092720771825,0.00557983066065813,0.00279034408915474,0.00351664179850752,0.00175842822247618,0.00604476436302762,0.00302292716666596,0.00564208535810391,0.00282148586590299,0.0115627842900516,0.00578521030787953,0.024874692286619,0.0124754973769718,0.0228338009875467,0.0114463891715537,0.0590708646883637,0.0300575815593409,0.000617317809076371,7.31406833299751e-05,0.000209281646075282,2.86362799935144e-05,0.0291927141259847
"xg",NA,NA,NA,NA,NA,NA,2.22509571952156e-07,1.38118887669441e-08,0.00136455417192189,0.000120618836217142,3.09827816248204e-07,1.99262864917197e-08,1.24537023413022e-05,7.57866118706307e-07,8.68272119235165e-06,5.43328272690406e-07,0.0225289860410376,0.00355826343549318,0.0327837457044775,0.00477194463803855,0.000207651343251358,1.46282252378460e-05,0.000110678464205058,6.85061756188427e-06,1.15137566068524e-05,7.75445204478298e-07,0.00225724162706289,0.000167974328533938,0.000805183017586045,8.88357652151975e-05,9.68215897039677e-05,8.14523658700654e-06,6.01396975336229e-05,3.68980710001601e-06,NA,NA,NA,NA,0.000172318572812754,2.20140200753965e-05,0.0663597567306651,0.0339254005901199,0.107639369056349,0.0571925143395162,0.0271135815033428,0.0136062415876915,0.0168307376442797,0.00842715742658498,0.00965825422383352,0.00483135157419917,0.0182997899415479,0.00916505339246984,0.0650069028069593,0.0332033339257483,0.0227125689570887,0.0113853047526346,0.0329359213220596,0.0165568310497636,0.0399454487536638,0.0201318777100165,0.00389032311562744,0.00194530733260595,0.000564717403158656,6.74748041435032e-05,0.000293144409906291,3.49426226730191e-05,0.0478305992158903
"xk",NA,NA,NA,NA,NA,NA,1.72493732981622e-05,1.11911306360560e-06,0.0214206592732416,0.00150727486197111,2.17912880783261e-07,1.41251248126822e-08,4.3888480967186e-06,2.67856405544802e-07,2.90865715376991e-07,1.80032693815315e-08,0.00697629672164724,0.00105610815282200,0.00934604266565672,0.00118608186852969,8.48257007067489e-06,5.92782254995421e-07,1.50384044326960e-05,8.78343442919008e-07,4.7290676109399e-08,2.95874022257268e-09,8.10807511127837e-06,4.65821033393748e-07,1.91490259104894e-06,1.15362270567964e-07,1.0956516824796e-06,6.48992383870343e-08,7.24641654013067e-07,4.63459827230278e-08,NA,NA,NA,NA,3.23070566077863e-05,3.88661699298934e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0190530111993496,0.00954361754549735,0.0325538497152978,0.0163627221145211,0.0087902989220688,0.00439682631510227,0.0110520718321850,0.00552936991016115,0.00962102226446954,0.00481271000698066,0.0280398128298201,0.0140746217399506,1.30237209523985e-06,1.62554291097466e-07,2.92979394512783e-05,3.66406378487870e-06,0.00850254458892383
